            # q-path           omega(meV)         lw_diff(meV)          lambda_diff
            1.961500            10.061800          1.94000e-04          9.71300e-03
            1.982500            10.004800         -2.33000e-04         -1.18000e-02
            2.003400             9.940100         -1.59000e-04         -8.15800e-03
            2.024400             9.864900          1.14000e-04          5.93800e-03
            2.045400             9.778300          4.10000e-05          2.17400e-03
            2.066300             9.680400          3.87000e-04          2.09340e-02
            2.087300             9.572300          3.07000e-04          1.69840e-02
            2.108300             9.455200          5.62000e-04          3.18660e-02
            2.129200             9.330400         -1.29000e-04         -7.51200e-03
            2.150200             9.199400         -7.50000e-05         -4.49300e-03
            2.171200             9.064000          8.60000e-05          5.30700e-03
            2.192100             8.926300          2.32000e-04          1.47590e-02
            2.213100             8.788500         -2.08000e-04         -1.36510e-02
            2.234100             8.653400         -1.20000e-05         -8.12000e-04
            2.255000             8.524000         -1.20000e-04         -8.37200e-03
            2.276000             8.403300          1.06500e-03          7.64510e-02
            2.297000             8.294500         -3.30000e-05         -2.43100e-03
            2.317900             8.200600          3.60000e-05          2.71400e-03
            2.338900             8.124400          3.70000e-05          2.84100e-03
            2.359800             8.068200         -1.20000e-04         -9.34400e-03
            2.380800             8.033700         -1.92000e-04         -1.50800e-02
            2.401800             8.022100         -1.90000e-04         -1.49663e-02
            2.415300             8.014200         -9.50000e-05         -7.49800e-03
            2.428900             7.991000         -1.43000e-04         -1.13520e-02
            2.442400             7.952700         -9.10000e-05         -7.29400e-03
            2.456000             7.900200         -1.09000e-04         -8.85300e-03
            2.469500             7.834300         -4.70000e-05         -3.88100e-03
            2.483000             7.756000         -7.34000e-04         -6.18520e-02
            2.496600             7.666400         -1.41000e-04         -1.21610e-02
            2.510100             7.566400         -6.72000e-04         -5.95010e-02
            2.523700             7.457100         -6.45000e-04         -5.87960e-02
            2.537200             7.339300          9.60000e-05          9.03400e-03
            2.550800             7.213500          3.70000e-05          3.60400e-03
            2.564300             7.080400         -9.60000e-05         -9.70700e-03
            2.577800             6.940300         -1.20000e-05         -1.26300e-03
            2.591400             6.793300         -2.80000e-05         -3.07500e-03
            2.604900             6.639500         -1.25000e-04         -1.43740e-02
            2.618500             6.478700         -1.18000e-04         -1.42510e-02
            2.632000             6.310700         -1.34000e-04         -1.70570e-02
            2.645600             6.135300          6.00000e-06          8.08000e-04
            2.659100             5.952000          7.00000e-05          1.00170e-02
            2.672600             5.760500          6.70000e-05          1.02351e-02
            2.686200             5.507100          1.70000e-05          2.84200e-03
            2.699700             5.242900          1.00000e-04          1.84410e-02
            2.713300             4.969300         -1.20000e-05         -2.46400e-03
            2.726800             4.687400          1.00000e-05          2.30700e-03
            2.740400             4.398700          8.90000e-05          2.33174e-02
            2.753900             4.104600          3.00000e-06          9.02000e-04
            2.767500             3.806600         -3.00000e-05         -1.04950e-02
            2.781000             3.506000          2.40000e-05          9.89700e-03
            2.794500             3.204100          7.00000e-05          3.45630e-02
            2.808100             2.902100          3.30000e-05          1.98620e-02
            2.821600             2.600900          5.00000e-05          3.74670e-02
            2.835200             2.301400          1.20000e-05          1.14850e-02
            2.848700             2.004200          1.10000e-05          1.38800e-02
            2.862300             1.709700          4.50000e-05          7.80410e-02
            2.875800             1.417900          3.10000e-05          7.81600e-02
            2.889300             1.128700          1.70000e-05          6.76500e-02
            2.902900             0.841400          6.00000e-06          4.29600e-02
            2.916400             0.554600          0.00000e+00          0.00000e+00
            2.930000             0.262500          0.00000e+00          0.00000e+00
            2.943500             0.000000          0.00000e+00          0.00000e+00
            2.976000             0.567200          0.00000e+00          0.00000e+00
            3.008500             1.138800          1.30000e-05          5.08100e-02
            3.040900             1.704500         -1.00000e-05         -1.74480e-02
            3.073400             2.263300          1.00000e-06          9.90000e-04
            3.105900             2.813400         -4.00000e-06         -2.56100e-03
            3.138400             3.352700          0.00000e+00          0.00000e+00
            3.170800             3.879500         -8.00000e-06         -2.69450e-03
            3.203300             4.392100         -1.20000e-05         -3.15330e-03
            3.235800             4.889100         -1.00000e-05         -2.12070e-03
            3.268300             5.369300         -6.00000e-06         -1.05494e-03
            3.300700             5.831800         -3.00000e-06         -4.47140e-04
            3.333200             6.276100         -2.00000e-06         -2.57380e-04
            3.365700             6.701700         -2.00000e-06         -2.25730e-04
            3.398100             7.108800         -3.00000e-06         -3.00930e-04
            3.430600             7.497800          1.00000e-06          9.01700e-05
            3.463100             7.869300         -3.00000e-05         -2.45577e-03
            3.495600             8.224000          2.60000e-05          1.94867e-03
            3.528000             8.563200         -1.01000e-04         -6.98230e-03
            3.560500             8.888100          5.00000e-06          3.20800e-04
            3.593000             9.199900         -2.25000e-04         -1.34753e-02
            3.625500             9.500000         -1.21000e-04         -6.79650e-03
            3.657900             9.789700          4.90000e-05          2.59170e-03
            3.690400            10.070200         -6.30000e-05         -3.14910e-03
            3.722900            10.342300         -3.04000e-04         -1.44066e-02
            3.755400            10.606800          6.80000e-05          3.06390e-03
            3.787800            10.864000          1.70000e-05          7.30200e-04
            3.820300            11.113600          3.90000e-05          1.60060e-03
            3.852800            11.354800          1.01000e-04          3.97094e-03
            3.885200            11.585800          5.40000e-05          2.03930e-03
            3.917700            11.803500         -4.00000e-06         -1.45600e-04
            3.950200            12.001400          7.00000e-06          2.46300e-04
            3.982700            12.166600         -4.20000e-05         -1.43820e-03
            4.015100            12.276000         -8.50000e-05         -2.85920e-03
            4.047600            12.312100          4.00000e-06          1.33800e-04
            4.080100            12.299600         -2.70000e-05         -9.04700e-04
            4.112600            12.283500         -7.00000e-06         -2.35200e-04
            4.145000            12.290200         -3.00000e-06         -1.00700e-04
            4.177500            12.327800         -2.50000e-05         -8.33900e-04
            4.210000            12.394900         -6.60000e-05         -2.17760e-03
            4.242400            12.485100         -1.40000e-05         -4.55310e-04

            0.000000             0.000000          0.00000e+00          0.00000e+00
            0.025000             0.591900          0.00000e+00          0.00000e+00
            0.049900             1.180400          1.20000e-05          4.36570e-02
            0.074900             1.770900          7.00000e-06          1.13150e-02
            0.099800             2.363200          2.00000e-05          1.81540e-02
            0.124800             2.957300          6.00000e-06          3.47700e-03
            0.149800             3.552500          2.20000e-05          8.83640e-03
            0.174700             4.148300          3.40000e-05          1.00154e-02
            0.199700             4.743500          2.00000e-05          4.50590e-03
            0.224600             5.336700          1.70000e-05          3.02580e-03
            0.249600             5.926400          2.00000e-05          2.88660e-03
            0.274600             6.510800          2.50000e-05          2.98950e-03
            0.299500             7.088200         -4.30000e-05         -4.33840e-03
            0.324500             7.657100         -2.90000e-05         -2.50730e-03
            0.349400             8.216000         -8.40000e-05         -6.30770e-03
            0.374400             8.763800         -2.50000e-05         -1.65000e-03
            0.399300             9.299600          6.20000e-05          3.63410e-03
            0.424300             9.823000          4.00000e-06          2.10200e-04
            0.449300            10.333700          1.20000e-05          5.69700e-04
            0.474200            10.832100         -3.90000e-05         -1.68490e-03
            0.499200            11.318500         -1.18000e-04         -4.66910e-03
            0.524100            11.793700         -3.20000e-05         -1.16620e-03
            0.549100            12.258300         -2.04000e-04         -6.88170e-03
            0.574100            12.713200         -1.10000e-05         -3.45000e-04
            0.599000            12.661800         -1.34000e-04         -4.23700e-03
            0.624000            12.512000          9.00000e-06          2.91400e-04
            0.648900            12.369900          3.30000e-05          1.09320e-03
            0.673900            12.241700          8.10000e-05          2.73990e-03
            0.698900            12.133000          5.70000e-05          1.96270e-03
            0.723800            12.048500          5.10000e-05          1.78090e-03
            0.748800            11.993400          2.60000e-05          9.16230e-04
            0.773700            11.973200          2.00000e-05          7.07160e-04
            0.798700            11.993400          2.20000e-05          7.75290e-04
            0.823700            12.057100          2.00000e-06          6.97400e-05
            0.848600            12.162500         -4.00000e-06         -1.37070e-04
            0.873600            12.301900         -1.00000e-06         -3.35000e-05
            0.898500            12.466100         -6.00000e-06         -1.95710e-04
            0.923500            12.648400          1.20000e-05          3.80220e-04
            0.948400            12.845100         -1.84000e-04         -5.65290e-03
            0.973400            13.054600         -5.80000e-05         -1.72520e-03
            0.998400            13.276800          9.40000e-05          2.70320e-03
            1.007800            13.307900          2.00000e-05          5.72400e-04
            1.017200            13.341700         -5.00000e-05         -1.42390e-03
            1.026600            13.378200         -2.80000e-04         -7.93060e-03
            1.036000            13.417600          9.70000e-05          2.73120e-03
            1.045400            13.459700         -1.46000e-04         -4.08520e-03
            1.054800            13.504700          2.20000e-05          6.11500e-04
            1.064300            13.552400          1.01000e-04          2.78752e-03
            1.073700            13.602900         -3.60000e-05         -9.86200e-04
            1.083100            13.656200         -2.18000e-04         -5.92550e-03
            1.092500            13.712200         -2.10000e-05         -5.66100e-04
            1.101900            13.770800          2.00000e-05          5.34600e-04
            1.111300            13.831900          4.90000e-05          1.29824e-03
            1.120700            13.895500         -1.90000e-05         -4.98800e-04
            1.130200            13.961500          2.10000e-05          5.46140e-04
            1.139600            14.029600          4.00000e-06          1.03000e-04
            1.149000            14.099800          3.20000e-05          8.15900e-04
            1.158400            14.171900          7.40000e-05          1.86769e-03
            1.167800            14.245700          6.20000e-05          1.54866e-03
            1.177200            14.321100          5.90000e-05          1.45828e-03
            1.186600            14.397700          8.90000e-05          2.17640e-03
            1.196000            14.475400          5.30000e-05          1.28221e-03
            1.205500            14.553800          8.90000e-05          2.12993e-03
            1.214900            14.632500          5.30000e-05          1.25480e-03
            1.224300            14.710900          1.55000e-04          3.63061e-03
            1.233700            14.788500          6.90000e-05          1.59926e-03
            1.243100            14.863800          3.40000e-05          7.80120e-04
            1.252500            14.934700          2.15000e-04          4.88620e-03
            1.261900            14.997300          7.20000e-05          1.62268e-03
            1.271400            15.043400          3.90000e-05          8.73500e-04
            1.280800            15.061200         -2.30000e-05         -5.13900e-04
            1.287800            15.051000          8.90000e-05          1.99158e-03
            1.294900            15.023100          6.90000e-05          1.54976e-03
            1.302000            14.982800          1.32000e-04          2.98067e-03
            1.309000            14.934700          2.15000e-04          4.88620e-03
            1.316100            14.882000          3.00000e-05          6.86640e-04
            1.323100            14.826500          3.80000e-05          8.76250e-04
            1.330200            14.769200          1.37000e-04          3.18369e-03
            1.337300            14.710900          1.55000e-04          3.63061e-03
            1.344300            14.652100          9.50000e-05          2.24310e-03
            1.351400            14.593100          1.15000e-04          2.73739e-03
            1.358400            14.534100          8.30000e-05          1.99173e-03
            1.365500            14.475400          5.30000e-05          1.28221e-03
            1.372600            14.417000          9.30000e-05          2.26814e-03
            1.379600            14.359200          6.30000e-05          1.54882e-03
            1.386700            14.302100          1.90000e-05          4.70900e-04
            1.393700            14.245700          6.20000e-05          1.54866e-03
            1.400800            14.190200          9.40000e-05          2.36633e-03
            1.407900            14.135600          6.30000e-05          1.59824e-03
            1.414900            14.082100          6.10000e-05          1.55928e-03
            1.422000            14.029600          4.00000e-06          1.03000e-04
            1.429000            13.978300         -4.00000e-05         -1.03770e-03
            1.436100            13.928200          4.90000e-05          1.28036e-03
            1.443200            13.879400          2.80000e-05          7.36800e-04
            1.450200            13.831900          4.90000e-05          1.29824e-03
            1.457300            13.785800          6.60000e-05          1.76044e-03
            1.464300            13.741200         -2.40000e-05         -6.44300e-04
            1.471400            13.697900          4.40000e-05          1.18871e-03
            1.478500            13.656200         -2.18000e-04         -5.92550e-03
            1.485500            13.616000         -1.10000e-04         -3.00760e-03
            1.492600            13.577300         -9.40000e-05         -2.58480e-03
            1.499600            13.540200          6.20000e-05          1.71420e-03
            1.506700            13.504700          2.20000e-05          6.11500e-04
            1.513800            13.470700         -2.71000e-04         -7.57050e-03
            1.520800            13.438300         -1.64000e-04         -4.60340e-03
            1.527900            13.407500          3.90000e-05          1.09970e-03
            1.534900            13.378200         -2.80000e-04         -7.93060e-03
            1.542000            13.350600         -2.61000e-04         -7.42270e-03
            1.549100            13.324400         -1.30000e-05         -3.71200e-04
            1.556100            13.299900         -4.80000e-05         -1.37550e-03
            1.563200            13.276800          9.40000e-05          2.70320e-03
            1.584100            13.051300         -4.00000e-06         -1.19000e-04
            1.605100            12.834700         -3.10000e-04         -9.53890e-03
            1.626100            12.628700         -1.00000e-05         -3.17840e-04
            1.647000            12.434600         -1.20000e-05         -3.93410e-04
            1.668000            12.253500          1.00000e-06          3.37600e-05
            1.689000            12.086000         -3.00000e-06         -1.04110e-04
            1.709900            11.931900          3.00000e-06          1.06815e-04
            1.730900            11.790200          1.70000e-05          6.19920e-04
            1.751900            11.659700         -1.00000e-05         -3.72870e-04
            1.772800            11.538800          0.00000e+00          0.00000e+00
            1.793800            11.426000         -2.50000e-05         -9.70700e-04
            1.814800            11.320000          7.90000e-05          3.12510e-03
            1.835700            11.220100         -6.20000e-05         -2.49650e-03
            1.856700            11.126000         -8.70000e-05         -3.56260e-03
            1.877700            11.038000          5.00000e-05          2.08030e-03
            1.898600            10.956900          2.43000e-04          1.02602e-02
            1.919600            10.884300          1.23000e-04          5.26300e-03
            1.940500            10.823100         -1.40000e-05         -6.06000e-04
            1.961500            10.776800          1.28000e-04          5.58640e-03
            1.982500            10.749400         -1.07000e-04         -4.69440e-03
            2.003400            10.744500         -1.85000e-04         -8.12300e-03
            2.024400            10.764300         -9.00000e-06         -3.93700e-04
            2.045400            10.808900         -1.44000e-04         -6.24770e-03
            2.066300            10.877100          2.00000e-05          8.56900e-04
            2.087300            10.704200         -3.00000e-05         -1.32720e-03
            2.108300            10.395700         -4.40000e-05         -2.06380e-03
            2.129200            10.100100         -2.30000e-05         -1.14290e-03
            2.150200             9.818500         -5.20000e-05         -2.73430e-03
            2.171200             9.552500         -5.60000e-05         -3.11090e-03
            2.192100             9.303500         -6.80000e-05         -3.98240e-03
            2.213100             9.072600          3.70000e-05          2.27860e-03
            2.234100             8.861500         -2.80000e-05         -1.80800e-03
            2.255000             8.671300          6.00000e-05          4.04450e-03
            2.276000             8.503400         -7.30000e-05         -5.11800e-03
            2.297000             8.358900          8.40000e-05          6.09400e-03
            2.317900             8.239100         -3.60000e-05         -2.68900e-03
            2.338900             8.144800         -7.80000e-05         -5.96000e-03
            2.359800             8.076800         -1.20000e-04         -9.32400e-03
            2.380800             8.035800         -1.92000e-04         -1.50720e-02
            2.401800             8.022100         -1.90000e-04         -1.49663e-02
            2.415300             8.018000         -9.50000e-05         -7.49100e-03
            2.428900             8.005200         -8.80000e-05         -6.96100e-03
            2.442400             7.983500         -1.01000e-04         -8.03300e-03
            2.456000             7.952700         -6.00000e-05         -4.80900e-03
            2.469500             7.912100         -4.50000e-05         -3.64400e-03
            2.483000             7.861200         -8.16000e-04         -6.69330e-02
            2.496600             7.799400         -2.05000e-04         -1.70830e-02
            2.510100             7.725900         -7.46000e-04         -6.33540e-02
            2.523700             7.640000         -8.10000e-04         -7.03450e-02
            2.537200             7.541000          1.54000e-04          1.37280e-02
            2.550800             7.428400          2.40000e-05          2.20500e-03
            2.564300             7.301500         -1.15000e-04         -1.09350e-02
            2.577800             7.160100         -5.00000e-06         -4.94000e-04
            2.591400             7.003900          2.20000e-05          2.27400e-03
            2.604900             6.832600         -1.15000e-04         -1.24870e-02
            2.618500             6.646500         -3.04000e-04         -3.48830e-02
            2.632000             6.445700         -1.80000e-04         -2.19620e-02
            2.645600             6.230700          5.40000e-05          7.05100e-03
            2.659100             6.002000          6.00000e-06          8.44000e-04
            2.672600             5.760500          6.70000e-05          1.02351e-02
            2.686200             5.560200          3.40000e-05          5.57500e-03
            2.699700             5.350800          7.20000e-05          1.27480e-02
            2.713300             5.131800         -1.50000e-05         -2.88700e-03
            2.726800             4.903000          2.50000e-05          5.27200e-03
            2.740400             4.663900          2.60000e-05          6.05900e-03
            2.753900             4.414500          3.30000e-05          8.58400e-03
            2.767500             4.154600         -2.30000e-05         -6.75500e-03
            2.781000             3.884200          4.50000e-05          1.51200e-02
            2.794500             3.603500          5.40000e-05          2.10800e-02
            2.808100             3.312600          3.70000e-05          1.70920e-02
            2.821600             3.012000          5.00000e-05          2.79380e-02
            2.835200             2.702200          1.00000e-05          6.94200e-03
            2.848700             2.383700          6.00000e-06          5.35200e-03
            2.862300             2.057300          3.50000e-05          4.19180e-02
            2.875800             1.723800          2.50000e-05          4.26430e-02
            2.889300             1.383900          1.40000e-05          3.70520e-02
            2.902900             1.038600          6.00000e-06          2.81900e-02
            2.916400             0.688500          4.00000e-06          4.27700e-02
            2.930000             0.335400          0.00000e+00          0.00000e+00
            2.943500             0.000000          0.00000e+00          0.00000e+00
            2.976000             0.654800         -3.00000e-05         -3.54680e-01
            3.008500             1.305800         -9.00000e-06         -2.67550e-02
            3.040900             1.953400         -1.20000e-05         -1.59410e-02
            3.073400             2.595500         -5.00000e-06         -3.76190e-03
            3.105900             3.230300         -9.00000e-06         -4.37210e-03
            3.138400             3.856100         -1.00000e-06         -3.40900e-04
            3.170800             4.471400         -1.60000e-05         -4.05660e-03
            3.203300             5.074700         -2.00000e-06         -3.93650e-04
            3.235800             5.664800         -1.30000e-05         -2.05357e-03
            3.268300             6.240300         -1.20000e-05         -1.56204e-03
            3.300700             6.800000         -1.70000e-05         -1.86360e-03
            3.333200             7.342700         -4.00000e-06         -3.76080e-04
            3.365700             7.867200         -1.20000e-05         -9.82790e-04
            3.398100             8.372300         -2.10000e-05         -1.51870e-03
            3.430600             8.856600         -3.40000e-05         -2.19730e-03
            3.463100             9.319100         -9.30000e-05         -5.42830e-03
            3.495600             9.758200          9.40000e-05          5.00380e-03
            3.528000            10.172700         -5.50000e-04         -2.69420e-02
            3.560500            10.561200          1.61000e-04          7.31690e-03
            3.593000            10.922500         -9.21000e-04         -3.91330e-02
            3.625500            11.255400         -2.50000e-05         -1.00000e-03
            3.657900            11.559000         -4.57000e-04         -1.73380e-02
            3.690400            11.832700         -6.30000e-05         -2.28090e-03
            3.722900            12.076100         -1.10000e-04         -3.82360e-03
            3.755400            12.289500          3.00000e-06          1.00700e-04
            3.787800            12.473300          1.00000e-05          3.25800e-04
            3.820300            12.628500          2.70000e-05          8.58200e-04
            3.852800            12.755900          3.70000e-05          1.15266e-03
            3.885200            12.856600          1.70000e-05          5.21400e-04
            3.917700            12.931500          5.00000e-06          1.51500e-04
            3.950200            12.981100         -4.70000e-05         -1.41389e-03
            3.982700            13.005200          1.00000e-06          3.00000e-05
            4.015100            13.005200         -2.42000e-04         -7.25290e-03
            4.047600            12.988500         -2.00000e-05         -6.01000e-04
            4.080100            12.948000         -3.30000e-05         -9.97830e-04
            4.112600            12.882400          7.00000e-06          2.13820e-04
            4.145000            12.796500         -1.12000e-04         -3.46710e-03
            4.177500            12.696000         -1.36000e-04         -4.27700e-03
            4.210000            12.588900         -1.12000e-04         -3.58237e-03
            4.242400            12.485100         -1.40000e-05         -4.55310e-04

            0.000000             0.000000          0.00000e+00          0.00000e+00
            0.025000             0.820700         -2.50000e-05         -1.88150e-01
            0.049900             1.634600          1.10000e-05          2.08700e-02
            0.074900             2.446600         -4.00000e-05         -3.38700e-02
            0.099800             3.254200         -1.27000e-04         -6.07900e-02
            0.124800             4.055800         -2.20000e-05         -6.78000e-03
            0.149800             4.849700          1.22000e-04          2.62940e-02
            0.174700             5.634200          9.70000e-05          1.54900e-02
            0.199700             6.407500          8.00000e-06          9.88000e-04
            0.224600             7.167700         -9.10000e-05         -8.97900e-03
            0.249600             7.912800         -1.79000e-04         -1.44920e-02
            0.274600             8.640500         -3.10000e-05         -2.10500e-03
            0.299500             9.347900          4.67000e-04          2.70900e-02
            0.324500            10.031500          6.62000e-04          3.33470e-02
            0.349400            10.686200         -2.43000e-04         -1.07870e-02
            0.374400            11.304400          1.23000e-04          4.87900e-03
            0.399300            11.873700          6.04000e-04          2.17160e-02
            0.424300            12.372000         -5.50000e-05         -1.82200e-03
            0.449300            12.762600          7.27000e-04          2.26250e-02
            0.474200            13.003200          6.00000e-05          1.79900e-03
            0.499200            13.085200         -2.92000e-04         -8.64500e-03
            0.524100            13.049600         -5.90000e-05         -1.75600e-03
            0.549100            12.946800         -8.04000e-04         -2.43150e-02
            0.574100            12.811000          1.86000e-04          5.74520e-03
            0.599000            13.159400         -8.10000e-05         -2.37100e-03
            0.624000            13.597000          9.00000e-06          2.46800e-04
            0.648900            14.026600         -6.30000e-05         -1.62310e-03
            0.673900            14.448100          1.40000e-05          3.40000e-04
            0.698900            14.861100         -5.80000e-05         -1.33130e-03
            0.723800            15.264800         -1.10000e-04         -2.39300e-03
            0.748800            15.657900         -2.06000e-04         -4.25920e-03
            0.773700            16.038600         -4.40000e-05         -8.67100e-04
            0.798700            16.404800          1.13000e-04          2.12850e-03
            0.823700            16.753800          9.60000e-05          1.73370e-03
            0.848600            17.082400          1.70000e-04          2.95310e-03
            0.873600            17.387100          1.91000e-04          3.20260e-03
            0.898500            17.633300          1.38000e-04          2.24975e-03
            0.923500            17.524400          4.80000e-05          7.92300e-04
