  # q-path    omega_q   gamma(q)(meV)     g(q)^2 (meV*ryd)          lambda
    4.1126    12.2835      7.4000e-05           4.7953e-01      2.4861e-03
    4.1450    12.2902      7.7000e-05           4.8942e-01      2.5841e-03
    4.1775    12.3278      1.2000e-04           4.9900e-01      4.0026e-03
    4.2100    12.3949      8.5000e-05           5.0313e-01      2.8045e-03
    4.2424    12.4851      4.4000e-05           5.0831e-01      1.4309e-03

    0.0000     0.0000      0.0000e+00           0.0000e+00      0.0000e+00
    0.0250     0.5919      0.0000e+00           0.0000e+00      0.0000e+00
    0.0499     1.1804      8.0000e-06           4.4391e-01      2.9105e-02
    0.0749     1.7709      1.7000e-05           3.0137e-01      2.7478e-02
    0.0998     2.3632      1.4000e-05           2.3307e-01      1.2707e-02
    0.1248     2.9573      2.4000e-05           1.9421e-01      1.3911e-02
    0.1498     3.5525      1.9000e-05           1.7039e-01      7.6316e-03
    0.1747     4.1483      1.5000e-05           1.5475e-01      4.4186e-03
    0.1997     4.7435      2.5000e-05           1.4452e-01      5.6321e-03
    0.2246     5.3367      2.6000e-05           1.3741e-01      4.6276e-03
    0.2496     5.9264      2.3000e-05           1.3293e-01      3.3195e-03
    0.2746     6.5108      2.6000e-05           1.3029e-01      3.1091e-03
    0.2995     7.0882      9.3000e-05           1.2887e-01      9.3830e-03
    0.3245     7.6571      9.4000e-05           1.2856e-01      8.1270e-03
    0.3494     8.2160      1.8200e-04           1.2928e-01      1.3667e-02
    0.3744     8.7638      1.0500e-04           1.3066e-01      6.9300e-03
    0.3993     9.2996      5.2000e-05           1.3290e-01      3.0479e-03
    0.4243     9.8230      9.5000e-05           1.3584e-01      4.9907e-03
    0.4493    10.3337      6.9000e-05           1.3935e-01      3.2754e-03
    0.4742    10.8321      1.3000e-04           1.4365e-01      5.6163e-03
    0.4992    11.3185      2.4200e-04           1.4836e-01      9.5756e-03
    0.5241    11.7937      1.1100e-04           1.5370e-01      4.0453e-03
    0.5491    12.2583      2.8200e-04           1.5997e-01      9.5130e-03
    0.5741    12.7132      1.0400e-04           1.6652e-01      3.2618e-03
    0.5990    12.6618      4.0400e-04           4.2458e-01      1.2774e-02
    0.6240    12.5120      1.3700e-04           4.3122e-01      4.4361e-03
    0.6489    12.3699      4.9000e-05           4.3860e-01      1.6233e-03
    0.6739    12.2417      3.2000e-05           4.4609e-01      1.0824e-03
    0.6989    12.1330      4.0000e-05           4.5388e-01      1.3774e-03
    0.7238    12.0485      4.7000e-05           4.6090e-01      1.6412e-03
    0.7488    11.9934      1.9000e-05           4.6610e-01      6.6957e-04
    0.7737    11.9732      1.4000e-05           4.6794e-01      4.9504e-04
    0.7987    11.9934      1.0000e-05           4.6345e-01      3.5241e-04
    0.8237    12.0571      1.0000e-05           4.5418e-01      3.4869e-04
    0.8486    12.1625      1.0000e-05           4.3851e-01      3.4268e-04
    0.8736    12.3019      7.0000e-06           4.2267e-01      2.3447e-04
    0.8985    12.4661      1.6000e-05           4.0767e-01      5.2190e-04
    0.9235    12.6484      7.0000e-06           3.9457e-01      2.2180e-04
    0.9484    12.8451      2.2200e-04           3.8315e-01      6.8204e-03
    0.9734    13.0546      1.3700e-04           3.7356e-01      4.0750e-03
    0.9984    13.2768      5.1000e-05           3.6546e-01      1.4666e-03
    1.0078    13.3079      9.2000e-05           3.6403e-01      2.6333e-03
    1.0172    13.3417      2.0200e-04           3.6256e-01      5.7525e-03
    1.0266    13.3782      4.3300e-04           3.6126e-01      1.2264e-02
    1.0360    13.4176      9.4000e-05           3.5972e-01      2.6467e-03
    1.0454    13.4597      2.7600e-04           3.5845e-01      7.7227e-03
    1.0548    13.5047      9.0000e-05           3.5680e-01      2.5015e-03
    1.0643    13.5524      3.3000e-05           3.5584e-01      9.1078e-04
    1.0737    13.6029      1.4000e-04           3.5440e-01      3.8353e-03
    1.0831    13.6562      3.1400e-04           3.5314e-01      8.5349e-03
    1.0925    13.7122      8.9000e-05           3.5203e-01      2.3994e-03
    1.1019    13.7708      5.1000e-05           3.5095e-01      1.3633e-03
    1.1113    13.8319      2.9000e-05           3.4987e-01      7.6836e-04
    1.1207    13.8955      9.6000e-05           3.4910e-01      2.5203e-03
    1.1302    13.9615      2.9000e-05           3.4798e-01      7.5416e-04
    1.1396    14.0296      7.6000e-05           3.4657e-01      1.9573e-03
    1.1490    14.0998      4.7000e-05           3.4549e-01      1.1984e-03
    1.1584    14.1719      1.3000e-05           3.4470e-01      3.2811e-04
    1.1678    14.2457      2.6000e-05           3.4384e-01      6.4944e-04
    1.1772    14.3211      2.0000e-05           3.4337e-01      4.9432e-04
    1.1866    14.3977      1.5000e-05           3.4277e-01      3.6680e-04
    1.1960    14.4754      1.4000e-05           3.4218e-01      3.3869e-04
    1.2055    14.5538      1.8000e-05           3.4192e-01      4.3077e-04
    1.2149    14.6325      4.9000e-05           3.4175e-01      1.1601e-03
    1.2243    14.7109      2.1000e-05           3.4198e-01      4.9189e-04
    1.2337    14.7885      1.2000e-05           3.4191e-01      2.7814e-04
    1.2431    14.8638      1.1000e-05           3.4227e-01      2.5238e-04
    1.2525    14.9347      2.6000e-05           3.4332e-01      5.9090e-04
    1.2619    14.9973      3.8000e-05           3.4441e-01      8.5642e-04
    1.2714    15.0434      7.7000e-05           3.4610e-01      1.7248e-03
    1.2808    15.0612      1.8300e-04           3.4685e-01      4.0894e-03
    1.2878    15.0510      1.2000e-05           3.4638e-01      2.6852e-04
    1.2949    15.0231      1.9000e-05           3.4510e-01      4.2674e-04
    1.3020    14.9828      9.0000e-06           3.4408e-01      2.0323e-04
    1.3090    14.9347      2.6000e-05           3.4332e-01      5.9090e-04
    1.3161    14.8820      6.0000e-06           3.4252e-01      1.3733e-04
    1.3231    14.8265      1.6000e-05           3.4216e-01      3.6895e-04
    1.3302    14.7692      8.0000e-06           3.4192e-01      1.8591e-04
    1.3373    14.7109      2.1000e-05           3.4198e-01      4.9189e-04
    1.3443    14.6521      4.2000e-05           3.4173e-01      9.9170e-04
    1.3514    14.5931      3.4000e-05           3.4162e-01      8.0931e-04
    1.3584    14.5341      1.1000e-05           3.4193e-01      2.6397e-04
    1.3655    14.4754      1.4000e-05           3.4218e-01      3.3869e-04
    1.3726    14.4170      2.0000e-05           3.4256e-01      4.8776e-04
    1.3796    14.3592      8.0000e-06           3.4315e-01      1.9668e-04
    1.3867    14.3021      3.8000e-05           3.4342e-01      9.4170e-04
    1.3937    14.2457      2.6000e-05           3.4384e-01      6.4944e-04
    1.4008    14.1902      9.0000e-06           3.4442e-01      2.2657e-04
    1.4079    14.1356      1.1000e-05           3.4511e-01      2.7906e-04
    1.4149    14.0821      1.8000e-05           3.4570e-01      4.6012e-04
    1.4220    14.0296      7.6000e-05           3.4657e-01      1.9573e-03
    1.4290    13.9783      1.0700e-04           3.4763e-01      2.7759e-03
    1.4361    13.9282      8.0000e-06           3.4867e-01      2.0904e-04
    1.4432    13.8794      4.3000e-05           3.4944e-01      1.1315e-03
    1.4502    13.8319      2.9000e-05           3.4987e-01      7.6836e-04
    1.4573    13.7858      1.6000e-05           3.5087e-01      4.2676e-04
    1.4643    13.7412      1.0700e-04           3.5135e-01      2.8725e-03
    1.4714    13.6979      1.8000e-05           3.5213e-01      4.8629e-04
    1.4785    13.6562      3.1400e-04           3.5314e-01      8.5349e-03
    1.4855    13.6160      2.0700e-04           3.5396e-01      5.6598e-03
    1.4926    13.5773      1.9700e-04           3.5521e-01      5.4171e-03
    1.4996    13.5402      4.2000e-05           3.5597e-01      1.1613e-03
    1.5067    13.5047      9.0000e-05           3.5680e-01      2.5015e-03
    1.5138    13.4707      4.0200e-04           3.5798e-01      1.1230e-02
    1.5208    13.4383      3.1800e-04           3.5905e-01      8.9262e-03
    1.5279    13.4075      1.2000e-04           3.5997e-01      3.3839e-03
    1.5349    13.3782      4.3300e-04           3.6126e-01      1.2264e-02
    1.5420    13.3506      4.3900e-04           3.6219e-01      1.2485e-02
    1.5491    13.3244      1.7700e-04           3.6324e-01      5.0537e-03
    1.5561    13.2999      1.6000e-04           3.6438e-01      4.5851e-03
    1.5632    13.2768      5.1000e-05           3.6546e-01      1.4666e-03
    1.5841    13.0513      7.1000e-05           3.7457e-01      2.1129e-03
    1.6051    12.8347      3.8000e-04           3.8521e-01      1.1693e-02
    1.6261    12.6287      2.8000e-05           3.9851e-01      8.8996e-04
    1.6470    12.4346      3.2000e-05           4.1417e-01      1.0491e-03
    1.6680    12.2535      6.0000e-06           4.3170e-01      2.0256e-04
    1.6890    12.0860      7.0000e-06           4.4872e-01      2.4292e-04
    1.7099    11.9319      1.0000e-06           4.6627e-01      3.5605e-05
    1.7309    11.7902      3.0000e-06           4.8019e-01      1.0940e-04
    1.7519    11.6597      1.9000e-05           4.9179e-01      7.0845e-04
    1.7728    11.5388      6.2000e-05           4.9888e-01      2.3605e-03
    1.7938    11.4260      5.6000e-05           5.0192e-01      2.1744e-03
    1.8148    11.3200      4.4000e-05           5.0040e-01      1.7406e-03
    1.8357    11.2201      1.2500e-04           4.9491e-01      5.0332e-03
    1.8567    11.1260      2.5900e-04           4.8509e-01      1.0606e-02
    1.8777    11.0380      2.1100e-04           4.7120e-01      8.7787e-03
    1.8986    10.9569      6.6000e-05           4.5475e-01      2.7868e-03
    1.9196    10.8843      3.3200e-04           4.3326e-01      1.4206e-02
    1.9405    10.8231      3.2000e-04           4.0955e-01      1.3848e-02
    1.9615    10.7768      1.2000e-04           3.8160e-01      5.2376e-03
    1.9825    10.7494      2.8600e-04           3.5369e-01      1.2547e-02
    2.0034    10.7445      3.1700e-04           3.2683e-01      1.3919e-02
    2.0244    10.7643      8.6000e-05           3.0422e-01      3.7623e-03
    2.0454    10.8089      2.5300e-04           2.8531e-01      1.0977e-02
    2.0663    10.8771      2.5000e-05           2.7075e-01      1.0711e-03
    2.0873    10.7042      5.5000e-05           2.4435e-01      2.4332e-03
    2.1083    10.3957      8.1000e-05           2.4704e-01      3.7993e-03
    2.1292    10.1001      6.0000e-05           2.5015e-01      2.9815e-03
    2.1502     9.8185      1.0300e-04           2.5262e-01      5.4160e-03
    2.1712     9.5525      1.0800e-04           2.5593e-01      5.9996e-03
    2.1921     9.3035      1.6300e-04           2.5849e-01      9.5461e-03
    2.2131     9.0726      5.5000e-05           2.6183e-01      3.3871e-03
    2.2341     8.8615      1.8400e-04           2.6454e-01      1.1878e-02
    2.2550     8.6713      1.1900e-04           2.6702e-01      8.0225e-03
    2.2760     8.5034      2.9500e-04           2.6959e-01      2.0681e-02
    2.2970     8.3589      1.9900e-04           2.7238e-01      1.4437e-02
    2.3179     8.2391      2.6800e-04           2.7429e-01      2.0013e-02
    2.3389     8.1448      2.5100e-04           2.7591e-01      1.9180e-02
    2.3598     8.0768      3.7200e-04           2.7884e-01      2.8906e-02
    2.3808     8.0358      4.3600e-04           2.7859e-01      3.4226e-02
    2.4018     8.0221      2.8200e-04           2.7916e-01      2.2213e-02
    2.4153     8.0180      3.8000e-04           2.7830e-01      2.9963e-02
    2.4289     8.0052      3.6500e-04           2.7710e-01      2.8872e-02
    2.4424     7.9835      3.4500e-04           2.7426e-01      2.7439e-02
    2.4560     7.9527      3.1600e-04           2.7126e-01      2.5327e-02
    2.4695     7.9121      2.6500e-04           2.6680e-01      2.1458e-02
    2.4830     7.8612      1.0830e-03           2.6244e-01      8.8834e-02
    2.4966     7.7994      5.1900e-04           2.5681e-01      4.3249e-02
    2.5101     7.7259      1.1130e-03           2.5163e-01      9.4521e-02
    2.5237     7.6400      1.1490e-03           2.4547e-01      9.9785e-02
    2.5372     7.5410      1.8600e-04           2.4006e-01      1.6580e-02
    2.5508     7.4284      2.1600e-04           2.3391e-01      1.9842e-02
    2.5643     7.3015      3.3500e-04           2.2879e-01      3.1853e-02
    2.5778     7.1601      1.7000e-04           2.2315e-01      1.6809e-02
    2.5914     7.0039      1.7400e-04           2.1859e-01      1.7980e-02
    2.6049     6.8326      2.5700e-04           2.1376e-01      2.7906e-02
